,user_verified,date,text,hashtags,tokenized,polarity,subjectivity,sentiment
19,False,2021-09-06 22:52:01,these were they from those that does contain synthetic,  covidvaccine    snakevenom  ,these were they from those that doe contain synthet,0.0,0.0,0
20,False,2021-09-06 22:50:14,hunt seriously unfinished injury death compensation scheme,  CovidVaccine    Death  ,hunt serious unfinish injuri death compens scheme,-0.3333333333333333,0.6666666666666666,-1
21,False,2021-09-06 22:49:50,miss this event from definitely calendar august 2021,,miss thi event from definit calendar august 2021,0.0,0.5,0
22,False,2021-09-06 22:47:35,taking credit instead sure were,  StillBetterThanTrump    CovidVaccine    ProjectWarpSpeed  ,take credit instead sure were,0.5,0.8888888888888888,1
23,False,2021-09-06 22:46:40,ethical south doctor treat unvaccinated,  Dr  ,ethic south doctor treat unvaccin,0.2,0.6,1
24,False,2021-09-06 22:45:04,everything will asset state property,  auspol  ,everyth will asset state properti,0.0,0.0,0
25,False,2021-09-06 22:45:03,work fact they opposite grow move,  LeaveOurKidsAlone  ,work fact they opposit grow move,0.0,0.0,0
26,False,2021-09-06 22:35:21,,  CovidVaccine  ,,0.0,0.0,0
27,False,2021-09-06 22:34:09,west governor goes script time liberty covid19,  WestVirginia    Liberty    COVID      CovidVaccine    Mandates  ,west governor goe script time liberti covid19,0.0,0.0,0
28,False,2021-09-06 22:32:04,have covid19vaccination going with like covid19india they,  COVID  Vaccination    CovidVaccine    COVID  India  ,have covid19vaccin go with like covid19india they,0.0,0.0,0
29,False,2021-09-06 22:31:46,have experimented with last other cancer,,have experi with last other cancer,-0.0625,0.22083333333333333,-1
30,True,2021-09-06 22:30:00,explain used promote,  Indonesia    socialmedia  ,explain use promot,0.0,0.0,0
31,False,2021-09-06 22:29:05,with lose their over experimental provisionally vaccine does public,,with lose their over experiment provision vaccin doe public,0.05,0.23333333333333334,1
32,False,2021-09-06 22:28:13,everyone gotten first covid19 more vulnerable catch from,  COVID      CovidVaccine  ,everyon gotten first covid19 more vulner catch from,0.08333333333333333,0.4444444444444444,1
33,False,2021-09-06 22:26:05,nearly counting arms title,  CovidVaccine  ,nearli count arm titl,0.1,0.4,1
34,False,2021-09-06 22:25:19,take vaccine volunteer marked that they told pressure,,take vaccin volunt mark that they told pressur,0.1,0.6,1
35,False,2021-09-06 22:15:13,police state here come covid19vicâ,  auspol    COVID  Vic  ,polic state here come covid19vicâ,0.0,0.0,0
36,True,2021-09-06 22:13:29,this post from good place with love some just make sense,,thi post from good place with love some just make sens,0.6,0.6000000000000001,1
37,False,2021-09-06 22:12:49,true covid19vic covid19aus covid19 auspol2021 covid19saâ,  auspol    COVID  Vic    COVID  Aus    COVIDVaccine    COVID      auspol        CovidUK    covid  sa  ,true covid19v covid19au covid19 auspol2021 covid19saâ,0.35,0.65,1
38,False,2021-09-06 22:10:45,prior vaccine precedent spirit scientifically sound,  PublicHealth  ,prior vaccin preced spirit scientif sound,0.2,0.2,1
39,False,2021-09-06 22:08:32,fire thread nuremberg2 they doing this ¤. pinned,  CovidVaccine    Nuremberg     FascistVaccinePassport  ,fire thread nuremberg2 they do thi ¤. pin,0.0,0.0,0
40,False,2021-09-06 22:08:28,ineffectual opposition leader another since when have really opposed anything,,ineffectu opposit leader anoth sinc when have realli oppos anyth,0.2,0.2,1
41,False,2021-09-06 22:00:17,covid please,  COVID    VaccinateToSaveSouthAfrica    CovidVaccine  ,covid pleas,0.0,0.0,0
42,False,2021-09-06 21:57:34,another sporty young suddenly article most likely what betting,,anoth sporti young suddenli articl most like what bet,0.15,0.6,1
43,False,2021-09-06 21:56:16,risk,  CovidVaccine  ,risk,0.0,0.0,0
44,False,2021-09-06 21:54:45,another another fully star positive covid vaccine,  Vaccine    CovidVaccine  ,anoth anoth fulli star posit covid vaccin,0.22727272727272727,0.5454545454545454,1
45,False,2021-09-06 21:47:28,case itchy papulovesicular rash consistent with zoster virus reactivation after,,case itchi papulovesicular rash consist with zoster viru reactiv after,0.25,0.25,1
46,False,2021-09-06 21:44:00,entry virus surge watch full video here,,entri viru surg watch full video here,0.35,0.55,1
47,False,2021-09-06 21:40:55,interesting right both dose almost exactly same,,interest right both dose almost exactli same,0.2619047619047619,0.38690476190476186,1
48,False,2021-09-06 21:36:03,stainless steel time this week japan blocked covid19 vaccine,  CovidVaccine    Moderna    covid      vaccine  ,stainless steel time thi week japan block covid19 vaccin,0.2,0.2,1
49,False,2021-09-06 21:30:44,what deal trump trump said should what issue,,what deal trump trump said should what issu,0.0,0.0,0
50,False,2021-09-06 21:27:36,know people have covid double jabbed .... predict this increase know,,know peopl have covid doubl jab .... predict thi increas know,0.0,0.0,0
51,False,2021-09-06 21:19:25,drinking beer pregnant ladies recommend this experimental vaccine that,,drink beer pregnant ladi recommend thi experiment vaccin that,0.21666666666666667,0.45,1
52,False,2021-09-06 21:17:17,phase covid vaccination exercise civil society coalition against,,phase covid vaccin exercis civil societi coalit against,0.0,0.0,0
53,False,2021-09-06 21:17:16,march 2020 super site happy relieved,  CovidVaccine  ,march 2020 super site happi reliev,0.5666666666666667,0.8333333333333333,1
54,False,2021-09-06 21:13:58,need understand this magic this movie make covid away,  CovidVaccine    Covid  ,need understand thi magic thi movi make covid away,0.5,1.0,1
55,False,2021-09-06 21:13:04,thought were would your freedom back nope will double jabbed,  vaccinated  ,thought were would your freedom back nope will doubl jab,0.0,0.0,0
56,False,2021-09-06 21:12:43,phase covid vaccination exercise civil society coalition against,,phase covid vaccin exercis civil societi coalit against,0.0,0.0,0
57,False,2021-09-06 21:10:05,double jabbed double jabbed with mild unless,,doubl jab doubl jab with mild unless,0.1111111111111111,0.16666666666666666,1
58,False,2021-09-06 21:09:36,agree only pressure agree vaccination,,agre onli pressur agre vaccin,0.0,1.0,0
59,False,2021-09-06 21:09:26,more regret about what after take covid19,  covid      covidvaccine    vaccinedeath    vaccinesideeffects  ,more regret about what after take covid19,0.5,0.5,1
60,False,2021-09-06 21:08:47,taking twice daily booster,  pfizerpills    CovidVaccine    vaccinated    Booster    unvaxxed  ,take twice daili booster,0.0,0.0,0
61,False,2021-09-06 21:08:28,phase covid vaccination exercise civil society coalition against,,phase covid vaccin exercis civil societi coalit against,0.0,0.0,0
62,False,2021-09-06 21:04:16,phase covid vaccination exercise civil society coalition against,,phase covid vaccin exercis civil societi coalit against,0.0,0.0,0
63,False,2021-09-06 21:02:06,media,,media,0.0,0.0,0
64,False,2021-09-06 20:54:11,phase covid vaccination exercise civil society coalition against,,phase covid vaccin exercis civil societi coalit against,0.0,0.0,0
65,False,2021-09-06 20:52:46,weird bragging about treating want,  CovidVaccine  ,weird brag about treat want,-0.5,1.0,-1
66,False,2021-09-06 20:49:57,phase covid vaccination exercise civil society coalition against,,phase covid vaccin exercis civil societi coalit against,0.0,0.0,0
67,False,2021-09-06 20:49:04,money money money must funny rich world thanks covid19vic covid19ausâ,  auspol    COVID  Vic    COVID  Aus  ,money money money must funni rich world thank covid19v covid19ausâ,0.27499999999999997,0.65,1
68,True,2021-09-06 20:49:02,know found covid vaccine safe people older make sure check,,know found covid vaccin safe peopl older make sure check,0.38888888888888884,0.5740740740740741,1
69,False,2021-09-06 20:46:03,will host distribution this,  CovidVaccine  ,will host distribut thi,0.0,0.0,0
70,False,2021-09-06 20:45:01,public start next week eligible receive,,public start next week elig receiv,0.0,0.03333333333333333,0
71,False,2021-09-06 20:37:01,covid care what your nationality just damn shot,  COVID    CovidVaccine  ,covid care what your nation just damn shot,0.0,0.0,0
72,False,2021-09-06 20:36:16,forget already,,forget alreadi,0.0,0.0,0
73,False,2021-09-06 20:35:23,donation vaccine from government under dose,,donat vaccin from govern under dose,0.0,0.0,0
74,False,2021-09-06 20:34:00,data that covid19 highly effective antibody protection immunization,  COVID      boostershot    antibody    Immunization  ,data that covid19 highli effect antibodi protect immun,0.6,0.8,1
75,False,2021-09-06 20:33:56,support covid19nsw covid19vic covid19â,  Australia    lockdown    COVID  nsw    COVID  Vic    vaccinated    VaccinePassports    COVID    ,support covid19nsw covid19v covid19â,0.0,0.0,0
76,False,2021-09-06 20:27:42,vaccination illegal against right self determination affidavit supreme court plea through,,vaccin illeg against right self determin affidavit suprem court plea through,-0.10714285714285715,0.5178571428571428,-1
77,False,2021-09-06 20:24:26,health 2021 more breastfeeding covid19,  breastfeeding    breastcancer    women    COVID      DeltaVariant    Mentalhealth    vaccinated  ,health 2021 more breastfeed covid19,0.5,0.5,1
78,False,2021-09-06 20:17:22,again addicted covid passport,,again addict covid passport,-0.4,0.6,-1
79,False,2021-09-06 20:15:43,could because received more than their share charting young people,,could becaus receiv more than their share chart young peopl,0.3,0.45,1
80,False,2021-09-06 20:01:12,,  CovidVaccine  ,,0.0,0.0,0
81,False,2021-09-06 20:00:23,when they talking about they meaning both,  CovidVaccine  ,when they talk about they mean both,0.0,0.0,0
82,False,2021-09-06 20:00:15,kiss study evolve build resistance immunity,,kiss studi evolv build resist immun,0.0,0.0,0
83,False,2021-09-06 19:48:00,hello where dose please focus vaccine getting,  vaccine  ,hello where dose pleas focu vaccin get,0.0,0.0,0
84,False,2021-09-06 19:44:03,fine .... arms across numero,  CovidVaccine  ,fine .... arm across numero,0.4166666666666667,0.5,1
85,False,2021-09-06 19:42:19,covid19 many covid need kill this week,  COVID      CovidVaccine    BorisJohnsonOut  ,covid19 mani covid need kill thi week,0.5,0.5,1
86,False,2021-09-06 19:40:12,reminder covid19,  COVID      CovidVaccine    COVAXIN    CovishieldVaccine    SputnikV  ,remind covid19,0.0,0.0,0
87,False,2021-09-06 19:37:03,green light pharmacy vaccination clinic 15am,  CovidVaccine  ,green light pharmaci vaccin clinic 15am,0.1,0.5,1
88,False,2021-09-06 19:35:27,like cult when forward from medical cant,,like cult when forward from medic cant,0.0,0.0,0
89,False,2021-09-06 19:28:59,poor been fully covid time past,,poor been fulli covid time past,-0.325,0.425,-1
90,False,2021-09-06 19:23:42,this exactly what going happen covid19 covid19nsw covid,  Ivermectin    ivermectine    ivermectina    COVID      COVID  nsw    Covid     ,thi exactli what go happen covid19 covid19nsw covid,0.25,0.25,1
91,False,2021-09-06 19:22:01,covid vaccine world first more coming,  DNA    COVIDvaccine    DHPSP  ,covid vaccin world first more come,0.375,0.41666666666666663,1
92,False,2021-09-06 19:20:27,back before media branch government when were,,back befor media branch govern when were,0.0,0.0,0
93,False,2021-09-06 19:19:07,covid vaccination list 2021,  CovidVaccine    kmcfightsagainstcorona  ,covid vaccin list 2021,0.0,0.0,0
94,False,2021-09-06 19:19:04,covid vaccination list 2021,  CovidVaccine    kmcfightsagainstcorona  ,covid vaccin list 2021,0.0,0.0,0
95,False,2021-09-06 19:13:13,sure public health issue here maybe need different,,sure public health issu here mayb need differ,0.16666666666666666,0.5185185185185185,1
96,False,2021-09-06 19:11:13,with every covid vaccination step closer better tomorrow share,  CovidVaccine    vaccination  ,with everi covid vaccin step closer better tomorrow share,0.5,0.5,1
97,False,2021-09-06 19:08:33,march through york chanting wake york recent covid mandatory,,march through york chant wake york recent covid mandatori,0.0,0.25,0
98,False,2021-09-06 19:07:52,covid19 report muscat covid19 covid19vicâ,  COVID      UAE    Qatar    KUWAIT    SaudiArabia    Oman    Muscat    India    COVID      COVID  Vic  ,covid19 report muscat covid19 covid19vicâ,0.0,0.0,0
99,False,2021-09-06 18:59:39,people like this have saved really should want know near death,  Denmark  ,peopl like thi have save realli should want know near death,0.15000000000000002,0.30000000000000004,1
100,False,2021-09-06 18:58:07,thanks invite contribute post,  immunizeusa    COVIDvaccine    facts  ,thank invit contribut post,0.2,0.2,1
101,False,2021-09-06 18:55:09,wish vaccine development better rushed built upon,  CovidVaccine  ,wish vaccin develop better rush built upon,0.5,0.5,1
102,False,2021-09-06 18:52:49,year daughter college today only student class,,year daughter colleg today onli student class,0.0,1.0,0
103,False,2021-09-06 18:48:00,doctor time find doctor,  CovidVaccine  ,doctor time find doctor,0.0,0.0,0
104,False,2021-09-06 18:47:44,approve covid19sa,  SputnikV    Sinovac    covid  SA    CovidVaccine  ,approv covid19sa,0.0,0.0,0
105,False,2021-09-06 18:42:47,this replicated every hospital vaccine,  CovidVaccine  ,thi replic everi hospit vaccin,0.0,0.0,0
106,False,2021-09-06 18:40:50,going second tomorrow should nervous vaccine,  GetVaccinatedNow    Pfizer    vaccine    CovidVaccine  ,go second tomorrow should nervou vaccin,0.0,0.0,0
107,False,2021-09-06 18:38:47,getting thing actively going purposely discourage,,get thing activ go purpos discourag,-0.13333333333333333,0.6,-1
108,False,2021-09-06 18:37:16,vaccination important break covid19 pandemic this fantastic real world demonstration,  COVID    ,vaccin import break covid19 pandem thi fantast real world demonstr,0.3333333333333333,0.7333333333333334,1
109,False,2021-09-06 18:37:06,"next time their will something along line ""...",  CovidVaccine  ,"next time their will someth along line ""...",0.0,0.0,0
110,False,2021-09-06 18:31:28,appreciate lack logistical capacity distribute various,  CovidVaccine  ,appreci lack logist capac distribut variou,0.0,0.5,0
111,False,2021-09-06 18:31:14,save future need have more people resume face face,,save futur need have more peopl resum face face,0.25,0.3125,1
112,False,2021-09-06 18:27:01,like almost throw sarscov2 sticks some degree,  covidvaccine    sarscov   ,like almost throw sarscov2 stick some degre,0.0,0.0,0
113,False,2021-09-06 18:25:28,thank goodness people chanting body choice over rushing,  CovidVaccine    Texas  ,thank good peopl chant bodi choic over rush,0.0,0.0,0
114,False,2021-09-06 18:25:04,almost smooth like butter bout covid19,  COVID      CovidIsNotOver    CovidVaccine  ,almost smooth like butter bout covid19,0.4,0.5,1
115,False,2021-09-06 18:24:25,while also saying your opinion,  CovidVaccine    MyBodyMyChoice    Texas    HeartbeatLaw  ,while also say your opinion,0.0,0.0,0
116,False,2021-09-06 18:23:08,please note this opinion that,  CovidVaccine  ,pleas note thi opinion that,0.0,0.0,0
117,False,2021-09-06 18:18:44,wait thought were going follow much,  Science    Biden    boostershot    CovidVaccine  ,wait thought were go follow much,0.2,0.2,1
118,False,2021-09-06 18:11:48,into this covid19 pandemic have plenty robust,  COVID      Pandemic  ,into thi covid19 pandem have plenti robust,0.0,0.0,0
119,False,2021-09-06 18:11:29,corona have done,  CovidVaccine    corona    youngpeople    UK    GetVaccinated    Hindu    Indian    BAME  ,corona have done,0.0,0.0,0
120,False,2021-09-06 18:10:29,corona have done,  CovidVaccine    corona    youngpeople    UK    GetVaccinated    Hindu    Indian    BAME  ,corona have done,0.0,0.0,0
121,False,2021-09-06 18:08:31,physician promote this from scientifically sound logical,  PublicHealth  ,physician promot thi from scientif sound logic,0.325,0.325,1
122,True,2021-09-06 18:05:54,will joining speaking about variant,  CovidVaccine  ,will join speak about variant,0.0,0.0,0
123,False,2021-09-06 18:03:54,moving direction only vote smart really push,  USA    Australia    vote  ,move direct onli vote smart realli push,0.13809523809523808,0.6142857142857142,1
124,False,2021-09-06 18:01:03,rural availability 00pm free dose1 dose2,  RURAL    Bengaluru    CovidVaccine    COVISHIELD  ,rural avail 00pm free dose1 dose2,0.2,0.4,1
125,False,2021-09-06 18:00:16,would encourage anyone still received their covid following link book,,would encourag anyon still receiv their covid follow link book,0.0,0.1,0
126,False,2021-09-06 18:00:16,would encourage anyone still received their covid following link book,,would encourag anyon still receiv their covid follow link book,0.0,0.1,0
127,False,2021-09-06 17:59:53,been prove,  vaccinated    CovidVaccine    VaccinePassport  ,been prove,0.0,0.0,0
128,False,2021-09-06 17:56:33,there still people stupid enough believe this about your health wake,,there still peopl stupid enough believ thi about your health wake,-0.39999999999999997,0.75,-1
129,False,2021-09-06 17:55:38,today final vaccine trial visit after first vaccine start june 2020,,today final vaccin trial visit after first vaccin start june 2020,0.125,0.6666666666666666,1
130,False,2021-09-06 17:50:17,recall tweet good while from journalist that political,,recal tweet good while from journalist that polit,0.35,0.35000000000000003,1
131,False,2021-09-06 17:50:08,just feel bill soul,  CovidVaccine    vaccinated  ,just feel bill soul,0.0,0.0,0
132,False,2021-09-06 17:49:14,need covid19 guardian,  CovidVaccine    covid      bloomberg    wsj    cnbc    cnn    guardian    nytimes    wapo    latimes  ,need covid19 guardian,0.0,0.0,0
133,False,2021-09-06 17:48:32,really want that vaccine,  fuckoff    CovidVaccine  ,realli want that vaccin,0.2,0.2,1
134,False,2021-09-06 17:47:16,campaign before become trapped shoot shoot while,,campaign befor becom trap shoot shoot while,-0.2,0.0,-1
135,False,2021-09-06 17:41:41,keep this mind when your scientifically unproven third dose vaccine,  UnprovenBooster    CovidVaccine  ,keep thi mind when your scientif unproven third dose vaccin,0.0,0.0,0
136,False,2021-09-06 17:37:04,boast social when basically discriminate against unvaccinated,  birdinhand  ,boast social when basic discrimin against unvaccin,0.03333333333333333,0.06666666666666667,1
137,False,2021-09-06 17:34:52,said either they their period came back,,said either they their period came back,0.0,0.0,0
138,False,2021-09-06 17:34:06,curiosity vaccine shot covid because want know sides,,curios vaccin shot covid becaus want know side,0.0,0.0,0
139,False,2021-09-06 17:32:37,worried about myocarditis pericarditis then should definitely,  CovidVaccine  ,worri about myocard pericard then should definit,0.0,0.5,0
140,True,2021-09-06 17:29:01,available pregnant best protect yourself your baby,  COVIDvaccine  ,avail pregnant best protect yourself your babi,0.5777777777777778,0.39999999999999997,1
141,False,2021-09-06 17:26:16,indigenous person strong against foreign into body,  Indigenous    Hawaii  ,indigen person strong against foreign into bodi,0.15416666666666665,0.42916666666666664,1
142,False,2021-09-06 17:25:55,1stresponders nationwide resist they know what think happen,   stResponders    COVIDVaccine    VaccineMandates    MRNA  ,1strespond nationwid resist they know what think happen,0.0,0.0,0
143,False,2021-09-06 17:24:35,when first covid vaccine feel nothing wait after,,when first covid vaccin feel noth wait after,0.25,0.3333333333333333,1
144,False,2021-09-06 17:21:30,covid19 problem this people quit being damn nasty hygiene,  COVID      CovidVaccine    hygiene    thecure  ,covid19 problem thi peopl quit be damn nasti hygien,-1.0,1.0,-1
145,False,2021-09-06 17:20:00,fraudulent covid article,,fraudul covid articl,0.0,0.0,0
146,False,2021-09-06 17:18:06,coincidentally just found covid done with same tiny needles used,,coincident just found covid done with same tini needl use,0.0,0.3125,0
147,False,2021-09-06 17:16:57,today properly with vaccination certificate portal,  CovidVaccine  ,today properli with vaccin certif portal,0.0,0.1,0
148,False,2021-09-06 17:16:38,someone better find this virus .... covid vaccination,  DeltaVariant    Covid       vaccination    CovidVaccine  ,someon better find thi viru .... covid vaccin,0.5,0.5,1
149,False,2021-09-06 17:16:19,save this list that will fight your against vaccine,  DoNotComply  ,save thi list that will fight your against vaccin,0.0,0.0,0
150,False,2021-09-06 17:14:24,something wrong here people found potential cause cure really need real with,,someth wrong here peopl found potenti caus cure realli need real with,-0.024999999999999994,0.6000000000000001,-1
151,False,2021-09-06 17:13:36,first dose progress second dose progress,,first dose progress second dose progress,0.125,0.16666666666666666,1
152,False,2021-09-06 17:12:29,eventually make compulsory,  MarioDraghi    COVIDvaccine  ,eventu make compulsori,0.0,0.0,0
153,False,2021-09-06 17:09:52,first place they vector tested gene,,first place they vector test gene,0.25,0.3333333333333333,1
154,False,2021-09-06 17:09:04,employer very large organization religious exemption along with,,employ veri larg organ religi exempt along with,0.1392857142857143,0.4035714285714286,1
155,False,2021-09-06 17:06:04,this weekend covid19,  COVID      NoVaccinePassportsAnywhere    COVIDIOTS    CovidVaccine  ,thi weekend covid19,0.0,0.0,0
156,True,2021-09-06 17:05:32,story anti they their mind with little help from guide,  TeamHalo  ,stori anti they their mind with littl help from guid,-0.1875,0.5,-1
157,False,2021-09-06 17:04:44,doing your research,  DavidIcke  ,do your research,0.0,0.0,0
158,True,2021-09-06 17:02:00,covid work curious series handy road grown,  VaccineRoadmap  ,covid work curiou seri handi road grown,0.25,0.95,1
159,False,2021-09-06 17:01:42,your covid vaccine today this your that from covid,,your covid vaccin today thi your that from covid,0.0,0.0,0
160,False,2021-09-06 17:01:21,made decision mandate covid vaccination routine testing agree that,,made decis mandat covid vaccin routin test agre that,0.0,0.0,0
161,False,2021-09-06 17:01:09,wise those wait eight after their second dose,,wise those wait eight after their second dose,0.35,0.45,1
162,False,2021-09-06 17:00:15,just bring your notice that vaccination check being done,  CovidVaccine  ,just bring your notic that vaccin check be done,0.0,0.0,0
163,False,2021-09-06 16:57:40,10cr vaccine today kudos beat covid19,  india    COVID      CovidVaccine  ,10cr vaccin today kudo beat covid19,0.0,0.0,0
164,False,2021-09-06 16:48:10,province target,  COVIDvaccine  ,provinc target,0.0,0.0,0
165,False,2021-09-06 16:41:55,some ignore against treat covid19,  ivermectin    COVID      CovidVaccine    COVIDIOTS  ,some ignor against treat covid19,0.0,0.0,0
166,False,2021-09-06 16:35:03,your gateway walk vaccination clinic open,  CovidVaccine  ,your gateway walk vaccin clinic open,0.0,0.5,0
167,True,2021-09-06 16:34:19,vaccine immunity covid immunity lost some after,,vaccin immun covid immun lost some after,0.0,0.0,0
168,False,2021-09-06 16:32:49,covid19 surge across weary once hopeful summer,  COVID      CovidVaccine    COVIDIOTS  ,covid19 surg across weari onc hope summer,0.0,0.0,0
169,False,2021-09-06 16:30:23,delta variant example virus that covid19 change,  COVID    ,delta variant exampl viru that covid19 chang,0.0,0.0,0
170,False,2021-09-06 16:29:32,today covid19vic,  COVID  Vic    CovidVaccine  ,today covid19v,0.0,0.0,0
171,False,2021-09-06 16:29:09,vaccination work,  vaccination    COVIDVaccination    CovidVaccine    VaccinationDrive  ,vaccin work,0.0,0.0,0
172,False,2021-09-06 16:27:20,covid19,  CovidVaccine    COVID    ,covid19,0.0,0.0,0
173,False,2021-09-06 16:25:53,crossed vaccination single terrific,  CovidVaccine  ,cross vaccin singl terrif,-0.03571428571428571,0.6071428571428571,-1
174,False,2021-09-06 16:24:35,walk pharmacy,,walk pharmaci,0.0,0.0,0
175,False,2021-09-06 16:23:39,maybe because pseudo scientist spew dangerous which could,,mayb becaus pseudo scientist spew danger which could,-0.6,0.9,-1
176,False,2021-09-06 16:19:26,they protest other that have been medical personnel,  CovidVaccine  ,they protest other that have been medic personnel,-0.0625,0.1875,-1
177,False,2021-09-06 16:18:49,forget anger anti need open public debate about safety,  CovidVaccine  ,forget anger anti need open public debat about safeti,-0.2333333333333333,0.25555555555555554,-1
178,False,2021-09-06 16:16:18,stone later health their mind they,,stone later health their mind they,0.0,0.0,0
179,False,2021-09-06 16:15:07,freedom choice covid please share this going epic show,  podcast  ,freedom choic covid pleas share thi go epic show,0.1,0.4,1
180,False,2021-09-06 16:14:19,wicked covid vaccine earn name clot,  CovidVaccine  ,wick covid vaccin earn name clot,0.0,0.0,0
181,False,2021-09-06 16:13:33,health commit with increasing capacity,  CovidVaccine  ,health commit with increas capac,0.0,0.0,0
182,False,2021-09-06 16:11:58,have watch this funny frightening,  COVIDIOTS  ,have watch thi funni frighten,-0.125,1.0,-1
183,False,2021-09-06 16:11:13,such many know will never allow force their many,  COVIDIOTS    CovidVaccine  ,such mani know will never allow forc their mani,0.3333333333333333,0.5,1
184,False,2021-09-06 16:09:37,symbology everything mask never symbol that they control their,,symbolog everyth mask never symbol that they control their,0.0,0.0,0
185,False,2021-09-06 16:08:45,someone tell vaccination tomorrow vaccine,  ludhiana    vaccine    CovidVaccine  ,someon tell vaccin tomorrow vaccin,0.0,0.0,0
186,False,2021-09-06 16:08:33,just detect venomous anger from illustrious when what anti,,just detect venom anger from illustri when what anti,-0.7,0.2,-1
187,True,2021-09-06 16:08:27,guide covid19,  TeamHalo    VaccinesWork    VaccinesSaveLives    Covid      CovidVaccine  ,guid covid19,0.0,0.0,0
188,False,2021-09-06 16:04:57,storm covid19 covid pandemic,  COVID      coronavirus    COVID    DeltaVariant    pandemic    CovidVaccine  ,storm covid19 covid pandem,0.0,0.0,0
189,False,2021-09-06 16:03:58,identical only covid figure rest,  CovidVaccine    GetVaccinatedNow  ,ident onli covid figur rest,0.0,1.0,0
190,False,2021-09-06 16:00:29,happy labor safe healthy essential healthy economy thank,,happi labor safe healthi essenti healthi economi thank,0.45999999999999996,0.5599999999999999,1
191,False,2021-09-06 16:00:03,vaccination today,  GetVaccinatedNow    CovidVaccine  ,vaccin today,0.0,0.0,0
192,False,2021-09-06 16:00:01,become first state have least dose,  HimachalPradesh    CovidVaccine  ,becom first state have least dose,-0.024999999999999994,0.3666666666666667,-1
193,False,2021-09-06 15:59:02,does everyone know their alphabet,  GetVaccinated    CovidVaccine  ,doe everyon know their alphabet,0.0,0.0,0
194,False,2021-09-06 15:57:43,would take covid vaccine knew that possible side effect disease those,,would take covid vaccin knew that possibl side effect diseas those,0.0,1.0,0
195,False,2021-09-06 15:44:09,read that irony 2400 cost,  antibodies    irony    CovidVaccine  ,read that ironi 2400 cost,0.0,0.0,0
196,False,2021-09-06 15:36:00,family image anti vaccination push,  antivaxxers    misinformation  ,famili imag anti vaccin push,0.0,0.0,0
197,False,2021-09-06 15:35:03,your pharmacy walk vaccination clinic open,  CovidVaccine  ,your pharmaci walk vaccin clinic open,0.0,0.5,0
